studiepgm_navn,identifikator,studiepgm_navn_en,instnr,instnavn,instnavn_en,studiested,NUSKODE,fagfelt,fagfelt_nyn,fagfelt_eng,faggruppe,faggruppe_nyn,faggruppe_eng,utdanningsgruppe,utdanningsgruppe_nyn,utdanningsgruppe_eng,bama,fagfelt_bama,studprog_kod,Prosenttall_Praksis,STUDIENIVAKODE,utd_type,utd_gruppe,aggregerte_data,oppr_utvalg,end_utvalg,andel_svart,terskel,an_heltd_DBH,stupoeng_DBH,organis_DBH,pc_praksDBH,undsprakDBH,vidutd_DBH,totstud_DBH,totkvi_DBH,totmenn_DBH,aldmedian_DBH,totkvi_prosent_DBH,totmenn_prosent_DBH,underv_engasj_18,underv_formidl_18,underv_pensum_18,underv_aktiv_18,indeks_underv_18,omftilb_forinnlev_15,omftilb_etterinnlev_15,omftilb_ikkeskrift_15,omftilb_andrestud_15,omftilb_fagprobl_15,omftilb_fagutvikl_15,tilbveil_antall_16,tilbveil_konstru_13,tilbveil_fagdisk_18,indeks_tilbveil_16,tilbveil_student_18,miljo_sosial_13,miljo_fag_13,miljo_studans_15,indeks_psymiljo_15,miljo_lokaler_13,miljo_utstyr_13,miljo_biblio_13,miljo_ikt_13,indeks_fysmiljo_13,indeks_miljo_13,organ_tilgjinfo_17,organ_kvalinfo_17,organ_admtilr_17,organ_fagligsam_17,indeks_organ_17,vurd_pensum_13,vurd_forstaelse_13,vurd_laert_17,vurd_kriterier_17,vurd_fagutv_17,indeks_vurd_17,medvirk_innspill_18,medvirk_oppfolg_18,medvirk_tillitsv_18,indeks_medvirk_18,insp_stimul_13,insp_utfordr_13,insp_motivasjon_14,indeks_insp_14,praksis_forber_14,praksis_organ_18,praksis_komm_14,praksis_tilbakem_14,praksis_fagutford_14,praksis_teori_14,praksis_undervis_14,indeks_praksis_14,yrkrel_komp_16,yrkrel_bruk_18,yrkrel_bransje_18,yrkrel_kontakter_18,indeks_yrkrel_18,laerutb_teori_13,laerutb_metforsk_13,laerutb_egenerf_13,laerutb_fagspes_13,laerutb_refleks_13,laerutb_samarb_13,laerutb_muntkom_13,laerutb_skriftkom_13,laerutb_tenke_13,laerutb_selvst_13,egeteng_motivert_14,egeteng_orgakt_14,egeteng_forberedt_14,egeteng_innsats_14,indeks_egeteng_14,forvent_klare_16,forvent_forberedt_16,forvent_deltar_16,forvent_fagamb_16,indeks_forvent_16,overord_garpahelst_13,overord_altialt_13,tidsbruk_laerakt_14,tidsbruk_egeninns_14,tidsbruk_arbeid_14,digitale_aktivt_18,digitale_kompet_18,digitale_opplaer_18,digitale_laerplatt_18,indeks_digi_18,undbruk_forelesn_14,undbruk_seminar_14,undbruk_gruppe_14,undbruk_innlev_14,undbruk_prosjekt_14,undbruk_feltarb_17,undbruk_lab_14,undbruk_praktov_14,undbruk_case_14,undbruk_simul_14,undbruk_praksis_14,undbruk_digital_14,undbidr_forelesn_14,undbidr_seminar_14,undbidr_gruppe_14,undbidr_innlev_14,undbidr_prosjekt_14,undbidr_feltarb_17,undbidr_lab_14,undbidr_praktov_14,undbidr_case_14,undbidr_simul_14,undbidr_praksis_14,undbidr_digital_14,studiestart_samsvar_18,studiestart_forventn_18,studiestart_innfor_18,studiestart_fagfellans_18,studiestart_fagfellstud_18,studiestart_sosfell_18
"Master in Applied Computer Science, part-time (120 ECTS)",256_ITMACS-D,"Master in Applied Computer Science, part-time (120 ECTS)",256,Høgskolen i Østfold,Østfold University College,Halden,754115,"Naturvitenskapelige fag, håndverksfag og tekniske fag","Naturvitskapelege fag, handverksfag og tekniske fag","Natural sciences, vocational and technical subjects",Informasjons- og datateknologi,Informasjons- og datateknologi,Information and computer technology,Informasjons- og datateknologi,Informasjons- og datateknologi,Information and computer technology,Master,"Naturvitenskapelige fag, håndverksfag og tekniske fag - master",ITMACS-D,,M2,DATA-IT,DATA-IT,0,2,1,1,0,0.5,120,1,0,ENG,0,7,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grunnskolelærerutdanning for trinn 1-7 (300 studiepoeng),256_MAGLU1-7,Primary and Lower Secondary Teacher Education for Years 1-7 (300 ECTS),256,Høgskolen i Østfold,Østfold University College,Halden,722105,Lærerutdanninger og utdanninger i pedagogikk,Lærarutdanningar og utdanningar i pedagogikk,Teacher training and pedagogy,Allmenn-/grunnskolelærerutdanninger,Allmenn-/grunnskolelærarutdanningar,General-/primary and lower secondary teacher education,Allmenn-/grunnskolelærerutdanninger,Allmenn-/grunnskolelærarutdanningar,General-/primary and lower secondary teacher education,Master,Lærerutdanninger og utdanninger i pedagogikk - master,MAGLU1-7,,M5,GRUNNSKOLE,GRUNNSKOLE 1-7,0,33,30,1,1,1.0,300,1,0,NOR,0,79,61,18,20,0.77,0.23,3.2,3.5,3.4,3.6,3.4,0.5,2.1,0.9,1.5,1.3,0.6,2.3,2.5,2.5,2.5,2.9,3.4,3.3,3.3,3.3,3.7,3.6,4.4,3.7,3.8,3.6,2.9,2.9,2.6,2.7,2.8,3.6,3.8,3.6,3.2,3.4,3.5,2.8,2.4,3.3,2.8,3.2,4.1,2.7,3.3,2.4,2.8,2.1,3.7,3.9,2.7,3.4,3.0,3.5,3.2,3.5,3.1,3.3,3.4,2.6,2.4,3.1,3.8,4.3,4.2,3.8,3.6,4.0,3.7,3.1,3.2,3.4,3.4,2.9,3.3,3.4,3.3,3.2,4.5,3.4,23.0,11.6,7.7,2.9,3.1,3.3,3.4,3.2,,,,,,,,,,,,,3.8,2.3,3.6,3.7,3.1,3.2,2.2,3.9,3.9,2.5,4.9,3.3,3.0,3.1,3.2,3.1,3.5,3.6
Grunnskolelærerutdanning for trinn 5-10 (300 studiepoeng),256_MAGLU5-10,Primary and Lower Secondary Teacher Education for Years 5-10 (300 ECTS),256,Høgskolen i Østfold,Østfold University College,Halden,722106,Lærerutdanninger og utdanninger i pedagogikk,Lærarutdanningar og utdanningar i pedagogikk,Teacher training and pedagogy,Allmenn-/grunnskolelærerutdanninger,Allmenn-/grunnskolelærarutdanningar,General-/primary and lower secondary teacher education,Allmenn-/grunnskolelærerutdanninger,Allmenn-/grunnskolelærarutdanningar,General-/primary and lower secondary teacher education,Master,Lærerutdanninger og utdanninger i pedagogikk - master,MAGLU5-10,,M5,GRUNNSKOLE,GRUNNSKOLE 5-10,0,60,50,1,1,1.0,300,1,0,NOR,0,142,84,58,20,0.59,0.41,3.0,3.1,3.7,3.0,3.2,0.7,2.4,1.6,1.9,1.9,1.1,2.7,2.9,2.6,2.7,3.3,3.8,3.5,3.3,3.5,3.4,3.4,4.3,3.8,3.7,3.6,3.0,2.9,2.9,3.0,2.9,3.8,3.6,3.4,3.1,3.5,3.5,2.9,2.7,3.3,3.0,3.1,4.3,2.9,3.4,3.1,3.6,2.9,4.2,4.3,3.0,3.3,3.5,3.7,3.3,3.4,3.2,3.4,3.4,3.0,2.6,3.5,3.6,3.8,3.7,3.5,3.4,3.8,3.5,3.2,3.1,3.4,3.3,3.0,3.4,3.6,3.4,3.4,4.6,3.6,25.1,11.6,7.0,2.8,3.1,3.1,3.4,3.1,,,,,,,,,,,,,3.5,2.3,3.7,3.2,3.4,3.4,3.0,3.8,3.7,2.4,4.7,3.0,3.0,3.0,2.9,3.0,3.6,3.8
Bachelorstudium i ingeniørfag - maskin,256_MAS,Bachelor in Mechanical Engineering,256,Høgskolen i Østfold,Østfold University College,Fredrikstad,655213,"Naturvitenskapelige fag, håndverksfag og tekniske fag","Naturvitskapelege fag, handverksfag og tekniske fag","Natural sciences, vocational and technical subjects","Utdanninger i elektrofag, mekaniske fag og maskinfag","Utdanningar i elektrofag, mekaniske fag og maskinfag","Electrical, electronic, mechanical and machine subjects",Mekaniske fag,Mekaniske fag,Mechanical subjects,Bachelor,"Naturvitenskapelige fag, håndverksfag og tekniske fag - bachelor",MAS,,B3,INGENIØR,ING-MASKIN,0,21,15,1,1,1.0,180,1,0,NOR,0,42,8,34,24,0.19,0.81,3.4,3.5,4.1,2.9,3.5,1.1,1.7,1.4,2.0,2.2,0.7,3.1,3.2,3.2,3.2,4.0,4.6,4.4,4.1,4.3,4.1,3.7,4.2,3.9,3.9,4.1,3.7,3.4,3.4,3.7,3.5,4.1,4.3,4.0,4.0,4.1,4.1,3.3,3.1,3.4,3.2,4.1,4.5,3.1,3.9,,,,,,,,,3.5,2.5,2.9,2.6,2.9,3.8,3.6,3.2,3.8,3.9,4.2,3.7,3.8,3.6,4.1,3.5,2.9,2.9,3.1,3.1,3.3,2.9,3.3,3.5,3.2,4.4,4.1,20.8,15.7,3.8,3.4,3.6,4.0,3.8,3.7,,,,,,,,,,,,,4.1,2.5,3.6,3.7,3.6,3.3,3.7,3.8,3.8,2.9,2.8,3.4,3.7,3.1,3.4,3.4,3.9,3.9
Masterstudium i avansert sykepleie ved kronisk sykdom (120 studiepoeng),256_MAVSPL,Master's degree programme in Advanced Nursing in Chronic illness,256,Høgskolen i Østfold,Østfold University College,Fredrikstad,761114,"Helse-, sosial- og idrettsfag","Helse-, sosial- og idrettsfag","Health, welfare and sport",Pleie- og omsorgsfag,Pleie- og omsorgsfag,Nursing and caring,Sykepleiefag,Sjukepleiefag,Nursing,Master,"Helse-, sosial- og idrettsfag - master",MAVSPL,,M2,SYKEPLEIE-MA,SYKEPLEIE-MA,0,20,14,1,1,0.5,120,1,0,NOR,2,28,25,3,36,0.89,0.11,4.1,4.2,4.0,4.3,4.1,0.9,0.7,1.9,2.1,2.6,0.7,2.5,2.9,3.6,3.1,3.8,4.1,4.1,3.8,4.0,2.8,3.2,4.5,4.3,3.7,3.8,3.4,3.5,3.3,4.1,3.6,4.5,4.2,4.2,4.1,4.3,4.3,4.2,3.8,4.0,4.0,4.2,4.2,4.0,4.1,,,,,,,,,4.7,2.5,1.8,2.0,2.8,4.0,4.1,3.6,3.6,4.3,4.3,4.2,4.1,4.1,4.1,4.2,3.8,3.4,3.5,3.7,3.5,3.0,4.0,3.6,3.5,4.0,4.2,8.8,10.5,31.0,3.5,3.1,2.8,3.5,3.2,,,,,,,,,,,,,3.7,3.8,3.3,4.2,3.7,3.3,2.8,3.1,3.7,3.5,3.2,3.3,3.4,3.4,3.4,3.5,4.2,4.1
Masterstudium i barnehagepedagogikk og småbarnsvitenskap (0-3 år) (120 studiepoeng),256_MBHGPED,Master in Early Childhood Studies (0-3 years) (120 ECTS),256,Høgskolen i Østfold,Østfold University College,Halden,721104,Lærerutdanninger og utdanninger i pedagogikk,Lærarutdanningar og utdanningar i pedagogikk,Teacher training and pedagogy,Førskole-/barnehagelærerutdanninger,Førskole-/barnehagelærarutdanningar,Pre-school-/kindergarten teacher education,Førskole-/barnehagelærerutdanninger,Førskole-/barnehagelærarutdanningar,Pre-school-/kindergarten teacher education,Master,Lærerutdanninger og utdanninger i pedagogikk - master,MBHGPED,,M2,PEDAGOGIKK,PEDAGOGIKK,0,13,9,1,1,0.5,120,1,0,NOR,0,31,,,38,,,4.9,4.4,4.7,5.0,4.8,1.6,1.4,1.9,1.9,3.2,1.6,4.4,4.5,4.9,4.6,4.1,4.6,4.6,4.8,4.6,4.1,4.1,4.5,4.3,4.2,4.4,4.8,4.7,4.7,4.8,4.7,4.9,4.9,4.9,4.7,4.9,4.8,4.4,4.6,4.7,4.5,4.9,4.9,4.8,4.9,,,,,,,,,4.9,4.2,4.0,3.9,4.3,4.8,4.6,4.5,4.5,4.9,4.8,4.3,4.3,4.8,4.9,4.6,4.4,4.8,4.5,4.6,4.6,4.8,4.8,4.8,4.7,4.8,4.9,7.7,14.7,34.6,4.3,4.4,3.7,4.4,4.2,,,,,,,,,,,,,4.9,4.9,4.0,4.3,4.0,3.6,2.5,3.9,4.3,3.0,3.0,3.9,4.6,4.9,4.6,4.8,4.9,4.3
Masterstudium i fremmedspråk i skolen (120 studiepoeng),256_MFRSPR-D,Master in Foreign Languages in the Classroom (120 ECTS),256,Høgskolen i Østfold,Østfold University College,Halden,711130,Humanistiske og estetiske fag,Humanistiske og estetiske fag,Humanities and arts,Språkutdanninger,Språkutdanningar,Languages,Utdanninger i germanske og romanske språk,Utdanningar i germanske og romanske språk,Germanic and Romance languages,Master,Humanistiske og estetiske fag - master,MFRSPR-D,,M2,PEDAGOGIKK,PEDAGOGIKK,0,40,20,1,1,0.5,120,3,0,NOR,2,136,117,19,42,0.86,0.14,3.6,3.5,3.9,4.2,3.8,2.3,2.5,0.8,2.7,1.8,0.8,3.5,3.6,3.4,3.5,3.7,3.4,3.8,3.0,3.6,3.7,3.6,4.1,3.5,3.7,3.6,3.2,3.3,3.5,3.6,3.4,4.2,4.5,4.1,3.6,3.9,4.0,3.1,3.0,3.7,3.3,3.7,4.2,3.1,3.7,,,,,,,,,4.0,3.6,3.3,1.8,3.5,4.1,3.6,3.3,3.5,4.1,3.2,3.2,4.3,3.8,4.4,3.7,2.9,3.6,3.7,3.5,3.9,3.4,3.9,3.8,3.9,4.4,3.8,3.3,13.2,30.2,3.9,3.9,2.9,3.6,3.6,,,,,,,,,,,,,2.3,2.6,2.6,4.6,2.7,2.8,1.3,2.1,2.1,1.5,2.5,3.9,3.8,3.3,3.1,2.5,3.6,2.8
"Masterstudium i norsk i skolen, heltid (120 studiepoeng)",256_MNORSK,"Master in Norwegian Language Education, full-time (120 ECTS)",256,Høgskolen i Østfold,Østfold University College,Halden,711123,Humanistiske og estetiske fag,Humanistiske og estetiske fag,Humanities and arts,Språkutdanninger,Språkutdanningar,Languages,Utdanninger i germanske og romanske språk,Utdanningar i germanske og romanske språk,Germanic and Romance languages,Master,Humanistiske og estetiske fag - master,MNORSK,,M2,SPRÅK,SPRÅK,0,8,1,0,0,1.0,120,1,0,NOR,2,12,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masterstudium i psykososialt arbeid - helse- og sosialfaglig yrkespraksis (120 studiepoeng),256_MPSA,Master in Psychosocial Work - professional Health- and Welfare Practices (120 ECTS),256,Høgskolen i Østfold,Østfold University College,Fredrikstad,769938,"Helse-, sosial- og idrettsfag","Helse-, sosial- og idrettsfag","Health, welfare and sport","Helse-, sosial- og idrettsfag, andre","Helse-, sosial- og idrettsfag, andre","Health, welfare and sport, other","Helse-, sosial- og idrettsfag, andre","Helse-, sosial- og idrettsfag, andre","Health, welfare and sport, other",Master,"Helse-, sosial- og idrettsfag - master",MPSA,,ME,HELSE OG SOSIAL ANDRE,HELSE OG SOSIAL DIV,0,20,16,1,1,0.5,120,1,0,NOR,0,73,61,12,40,0.84,0.16,4.4,4.3,4.1,4.6,4.4,1.2,1.6,1.0,1.9,2.6,1.1,3.0,3.8,3.6,3.4,3.7,4.0,4.1,4.2,4.1,4.1,4.3,4.6,4.5,4.4,4.2,4.2,4.1,4.0,4.1,4.1,4.4,4.4,4.6,3.8,4.7,4.4,4.4,4.2,4.2,4.3,4.7,4.6,4.5,4.6,3.6,3.2,1.8,2.5,3.6,4.4,3.6,3.4,4.8,3.6,2.9,1.8,3.4,4.3,2.9,3.4,3.6,4.4,4.3,4.1,3.8,4.3,4.5,4.6,4.4,3.7,4.0,4.2,3.9,4.0,4.6,4.1,4.1,4.8,4.3,10.1,11.3,38.0,4.0,4.1,3.2,4.1,3.9,,,,,,,,,,,,,4.5,3.5,3.4,4.3,3.8,3.9,1.3,2.7,3.4,3.1,3.3,3.4,3.8,3.6,3.9,3.7,4.0,3.3
Master in Scenography  (120 ECTS),256_MSCENO,Master in Scenography  (120 ECTS),256,Høgskolen i Østfold,Østfold University College,Fredrikstad,715213,Humanistiske og estetiske fag,Humanistiske og estetiske fag,Humanities and arts,"Musikk, dans og drama","Musikk, dans og drama","Music, dance and drama",Teater- og filmutdanninger,Teater- og filmutdanningar,Theatre and film,Master,Humanistiske og estetiske fag - master,MSCENO,,M2,KUNST,KUNST,0,6,3,1,0,1.0,120,1,0,ENG,0,9,5,4,31,0.56,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masterstudium i samordning av helse- og velferdstjenester (120 studiepoeng),256_MSHV,Master in integrated health and welfare services (120 ECTS),256,Høgskolen i Østfold,Østfold University College,Fredrikstad,762111,"Helse-, sosial- og idrettsfag","Helse-, sosial- og idrettsfag","Health, welfare and sport",Sosialfag,Sosialfag,Social services,Sosialfag,Sosialfag,Social services,Master,"Helse-, sosial- og idrettsfag - master",MSHV,,ME,SOSIALFAG,SOSIALFAG-MA,0,25,12,0,1,0.5,120,1,0,NOR,0,52,45,7,40,0.87,0.13,4.0,3.8,4.1,4.3,4.1,1.1,1.4,0.7,0.9,2.2,0.5,3.4,4.3,3.4,3.7,3.5,4.2,4.2,4.2,4.2,3.8,3.6,4.4,3.7,3.9,4.0,3.8,3.9,3.9,4.0,3.9,4.4,4.5,4.6,4.1,4.5,4.4,3.3,3.5,3.6,3.3,4.0,4.7,4.1,4.3,,,,,,,,,4.5,2.8,2.4,2.4,3.0,3.8,3.6,3.1,3.0,4.4,4.2,3.9,4.5,4.3,4.4,4.2,3.3,3.9,4.0,3.9,3.9,4.3,4.2,4.1,4.0,4.6,4.4,6.3,10.7,37.9,3.5,3.5,3.3,3.5,3.5,,,,,,,,,,,,,4.0,3.3,3.0,4.0,3.5,3.3,1.8,2.0,3.0,2.1,1.8,3.0,3.6,3.7,3.5,3.3,4.2,4.1
"Masterstudium i spesialpedagogikk, deltid (120 studiepoeng)",256_MSPESPED,Master of Special Education (120 ECTS),256,Høgskolen i Østfold,Østfold University College,Halden,724207,Lærerutdanninger og utdanninger i pedagogikk,Lærarutdanningar og utdanningar i pedagogikk,Teacher training and pedagogy,Utdanninger i pedagogikk,Utdanningar i pedagogikk,Pedagogy,Spesialpedagogikk,Spesialpedagogikk,Special education,Master,Lærerutdanninger og utdanninger i pedagogikk - master,MSPESPED,,M2,PEDAGOGIKK,PEDAGOGIKK,0,47,12,0,1,0.5,120,1,0,NOR,0,175,156,19,36,0.89,0.11,3.8,4.3,3.8,3.3,3.8,1.3,1.7,1.1,1.3,1.9,0.3,2.8,3.3,3.2,3.1,2.9,3.1,3.7,3.2,3.3,3.4,3.9,4.5,3.8,3.9,3.7,3.6,3.3,3.8,3.5,3.5,4.0,4.3,4.2,3.5,4.2,4.0,3.1,3.0,2.8,3.0,3.9,4.3,3.8,4.0,,,,,,,,,4.5,3.3,3.5,2.1,3.4,4.2,3.8,3.5,3.4,4.3,3.8,3.8,4.0,3.9,4.3,4.4,3.9,3.8,4.2,4.1,3.4,3.8,4.3,3.8,3.8,4.8,4.1,6.3,11.2,26.6,3.1,2.8,1.8,3.4,2.8,,,,,,,,,,,,,3.9,3.6,3.3,4.5,4.1,4.1,3.8,3.5,3.6,2.7,4.0,2.8,4.0,3.4,3.5,2.3,3.9,3.8
Masterstudium i organisasjon og ledelse (120 studiepoeng),256_OLM,Master in Organisation and Leadership (120 ECTS),256,Høgskolen i Østfold,Østfold University College,Halden,731111,Samfunnsfag og juridiske fag,Samfunnsfag og juridiske fag,Social sciences and law,Statsvitenskapelige fag,Statsvitskapelege fag,Political science,Statsvitenskapelige fag,Statsvitskapelege fag,Political science,Master,Samfunnsfag og juridiske fag - master,OLM,,ME,ØKADM,ØKADM,0,37,21,1,1,0.5,120,1,0,NOR,0,167,122,45,43,0.73,0.27,4.2,3.8,4.4,4.2,4.2,1.3,0.9,0.6,1.8,1.8,0.5,3.4,3.5,3.7,3.5,3.7,4.0,4.3,4.3,4.2,4.1,4.3,4.7,4.6,4.4,4.3,4.4,4.3,4.4,4.0,4.3,4.7,4.8,4.6,3.8,4.3,4.4,3.8,3.7,4.1,3.8,4.4,4.5,4.4,4.4,,,,,,,,,4.7,3.5,3.1,3.1,3.6,4.2,3.4,3.4,3.3,4.3,4.1,3.7,4.1,4.3,4.4,4.4,3.7,3.5,3.6,3.8,3.5,3.7,3.6,3.9,3.7,4.9,4.6,11.1,9.1,35.1,3.5,3.6,3.4,3.9,3.6,,,,,,,,,,,,,4.4,4.3,3.3,4.5,3.8,4.1,2.0,3.2,3.5,2.6,3.2,3.7,4.4,4.2,4.0,3.3,3.9,3.3
Bachelorstudium i sosialt arbeid,256_SOS,Bachelor in Social Work,256,Høgskolen i Østfold,Østfold University College,Fredrikstad,662116,"Helse-, sosial- og idrettsfag","Helse-, sosial- og idrettsfag","Health, welfare and sport",Sosialfag,Sosialfag,Social services,Sosialfag,Sosialfag,Social services,Bachelor,"Helse-, sosial- og idretttsfag - bachelor",SOS,28,B3,SOSIALFAG,SOSIONOM,0,56,53,1,1,1.0,180,1,28,NOR,0,169,142,27,22,0.84,0.16,4.3,4.3,4.3,4.3,4.3,1.1,2.2,1.9,2.0,2.0,1.1,3.4,3.8,3.5,3.6,3.7,3.9,3.9,3.9,3.9,2.7,3.4,4.2,4.1,3.6,3.7,4.0,4.0,4.2,4.3,4.1,4.5,4.5,4.6,4.1,4.5,4.4,4.1,3.6,3.9,3.9,4.3,4.4,4.1,4.3,,,,,,,,,4.5,4.0,3.9,2.9,3.9,4.2,3.5,3.2,4.1,4.4,4.3,4.2,4.0,4.1,4.4,4.2,3.5,3.4,3.9,3.7,4.1,4.1,4.1,3.7,4.0,4.7,4.8,17.5,10.7,8.0,3.9,3.8,3.2,4.0,3.7,,,,,,,,,,,,,4.4,4.2,3.6,4.6,3.8,3.7,2.5,4.5,4.5,4.5,4.8,3.6,4.1,4.3,4.1,3.7,4.1,3.8
"Bachelorstudium i sykepleie, heltid",256_SPL,"Bachelor in Nursing, full-time",256,Høgskolen i Østfold,Østfold University College,Fredrikstad,661120,"Helse-, sosial- og idrettsfag","Helse-, sosial- og idrettsfag","Health, welfare and sport",Pleie- og omsorgsfag,Pleie- og omsorgsfag,Nursing and caring,Sykepleiefag,Sjukepleiefag,Nursing,Bachelor,"Helse-, sosial- og idretttsfag - bachelor",SPL,50,B3,SYKEPLEIE,SYKEPLEIE,0,195,140,1,1,1.0,180,1,50,NOR,0,612,532,80,22,0.87,0.13,3.5,3.9,3.8,3.3,3.6,1.3,1.5,0.9,1.2,1.4,0.9,2.6,2.8,2.7,2.7,3.0,3.6,3.5,3.2,3.4,3.1,3.2,4.0,3.4,3.4,3.4,3.3,3.1,3.4,3.4,3.3,3.6,3.8,3.8,3.5,3.7,3.7,2.6,2.4,3.0,2.7,3.6,4.1,3.4,3.7,2.8,2.6,2.7,3.4,3.4,3.2,3.2,3.0,4.0,3.7,3.5,3.4,3.7,3.7,3.0,2.8,3.6,3.7,4.1,3.8,3.7,3.6,4.0,4.0,3.4,3.6,3.8,3.7,3.4,3.8,3.6,3.5,3.6,4.5,3.9,24.8,17.5,13.1,3.6,3.0,3.1,3.5,3.3,,,,,,,,,,,,,3.9,3.8,3.1,3.5,3.2,3.4,3.2,4.2,3.6,3.3,4.2,3.6,3.6,3.7,3.6,3.3,3.5,3.5
"Bachelorstudium i vernepleie, heltid",256_VE3,"Bachelor in Social Educator Training, full-time",256,Høgskolen i Østfold,Østfold University College,Fredrikstad,661305,"Helse-, sosial- og idrettsfag","Helse-, sosial- og idrettsfag","Health, welfare and sport",Pleie- og omsorgsfag,Pleie- og omsorgsfag,Nursing and caring,Vernepleiefag,Vernepleiefag,Social education,Bachelor,"Helse-, sosial- og idretttsfag - bachelor",VE3,28,B3,HELSE OG SOSIAL ANDRE,VERNEPLEIE,0,80,46,1,1,1.0,180,1,28,NOR,0,252,188,64,23,0.75,0.25,3.5,3.6,3.7,3.3,3.5,0.9,1.8,1.0,1.1,1.6,0.7,2.8,3.1,2.9,3.0,3.2,2.7,2.8,3.3,3.0,1.8,2.9,4.4,3.8,3.2,3.1,3.6,3.3,3.1,3.2,3.3,4.1,4.2,4.0,3.6,4.0,4.0,2.9,2.6,2.9,2.8,3.6,4.4,3.3,3.7,2.5,2.5,2.7,3.4,3.4,3.5,3.4,3.0,4.3,3.7,3.6,3.1,3.7,3.8,3.4,2.9,3.7,3.7,4.1,3.6,3.7,3.7,4.1,3.7,3.0,3.2,3.5,3.3,3.6,4.3,4.0,3.9,3.9,4.6,3.7,20.0,11.6,15.6,3.4,3.5,2.7,3.5,3.3,,,,,,,,,,,,,4.2,3.2,2.7,3.9,3.2,3.3,2.8,3.8,3.4,3.5,4.3,3.2,3.3,3.3,3.5,3.1,3.3,3.1
Bachelor i nyskaping og samfunnsutvikling,8247_BANS16FH,Bachelor i nyskaping og samfunnsutvikling,8247,Høgskulen for landbruk og bygdeutvikling,The Norwegian University College for Agriculture and Rural Development,Jæren,641161,Økonomiske og administrative fag,Økonomiske og administrative fag,Business and administration,Økonomisk-administrative fag,Økonomisk-administrative fag,Business and administration,Økonomisk-administrative fag,Økonomisk-administrative fag,Business and administration,Bachelor,Økonomiske og administrative fag - bachelor,BANS16FH,1,B3,ØKADM,ØKADM,0,6,1,0,0,1.0,180,1,0,NOR,0,22,17,5,34,0.77,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelorgradsstudium i animasjon,236_ANIBV,Bachelor in Animation,236,Høgskulen i Volda,Volda University College,Volda,616306,Humanistiske og estetiske fag,Humanistiske og estetiske fag,Humanities and arts,Bildende kunst og kunsthåndverk,Bildande kunst og kunsthandverk,Visual art and crafts,Fotofag,Fotofag,Photography,Bachelor,Humanistiske og estetiske fag - bachelor,ANIBV,4,B3,KUNST,KUNST,0,11,2,0,0,1.0,180,1,4,NOR,0,34,16,18,23,0.47,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnehagelærarutdanning,236_BLUBV,Bachelor of Education - Early Childhood ,236,Høgskulen i Volda,Volda University College,Volda,621107,Lærerutdanninger og utdanninger i pedagogikk,Lærarutdanningar og utdanningar i pedagogikk,Teacher training and pedagogy,Førskole-/barnehagelærerutdanninger,Førskole-/barnehagelærarutdanningar,Pre-school-/kindergarten teacher education,Førskole-/barnehagelærerutdanninger,Førskole-/barnehagelærarutdanningar,Pre-school-/kindergarten teacher education,Bachelor,Lærerutdanninger og utdanninger i pedagogikk - bachelor,BLUBV,17,B3,BARNEHAGE,BARNEHAGE,0,59,54,1,1,1.0,180,1,17,NOR,0,172,140,32,22,0.81,0.19,3.2,3.7,4.2,3.4,3.6,1.5,2.6,1.8,1.3,1.4,0.8,3.5,3.6,2.9,3.4,3.0,4.0,3.6,3.7,3.8,3.1,3.4,4.4,3.6,3.6,3.7,3.8,3.7,3.4,3.9,3.7,4.2,4.0,4.1,3.9,4.0,4.0,3.0,2.9,3.4,3.1,3.8,4.1,3.6,3.8,4.2,4.2,3.9,4.1,4.2,3.9,3.9,4.1,4.5,4.3,3.7,3.7,4.1,3.7,3.5,3.3,3.8,3.8,4.0,3.8,3.7,3.7,4.0,3.9,3.4,3.1,3.5,3.5,3.6,3.7,3.7,3.6,3.6,4.4,4.3,20.7,7.4,5.4,3.5,3.2,3.3,3.6,3.4,,,,,,,,,,,,,3.6,3.1,3.2,4.1,3.5,3.4,2.3,4.0,3.6,3.2,4.5,3.4,3.6,3.9,3.6,3.5,3.5,3.7
